rank_by_dollar,naics_code,naics_title,psc_code,psc_name,total_usd,n_actions,median_usd,top_winner,top_winner_share,what_was_done,vertical,work_type,equipment_intensity,regime,confidence
99,237310,"Highway, Street, and Bridge Construction",Y1LB,"CONSTRUCTION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",339343695.14,282,287742.5,GRP PAVING AND CONSTRUCTION LLC,0.043,Highway/road/bridge construction by heavy-civil contractor,Construction,construct,high,redundant,high
100,336414,Guided Missile and Space Vehicle Manufacturing,AR11,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",338011746.0,11,15298000.0,THE BOEING COMPANY,0.909,Space vehicle basic research by aerospace prime,Aerospace & Defense,RnD,medium,emergent,high
101,541512,Computer Systems Design Services,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,337808013.01,167,564692.26,ACCENTURE FEDERAL SERVICES LLC,0.754,IT management delivered as a service (subscription),Information Technology & Software,services_labor,low,psc_carries,high
102,541512,Computer Systems Design Services,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",333229426.92,25,783102.0,"INNOVATIVE MANAGEMENT CONCEPTS, INC",0.4,"Integrated IT hardware/software/services, services-predominant",Information Technology & Software,services_labor,low,psc_carries,high
103,541519,Other Computer Related Services,R499,SUPPORT- PROFESSIONAL: OTHER,330618467.13,276,352175.3,DELOITTE & TOUCHE LLP,0.127,IT services firms supplying other professional services,Information Technology & Software,services_labor,low,naics_carries,medium
104,562910,Remediation Services,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,329170028.47,492,66856.78,ENVIRONMENTAL RESTORATION LLC,0.146,Hazardous substance environmental remediation/cleanup,Environmental & Remediation,services_labor,medium,redundant,high
105,623990,Other Residential Care Facilities,G004,SOCIAL- SOCIAL REHABILITATION,329145722.28,509,462528.0,DISMAS CHARITIES INC,0.22,Residential social rehabilitation (reentry) facilities,Healthcare & Life Sciences,services_labor,low,emergent,medium
106,339112,Surgical and Medical Instrument Manufacturing,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",327808165.02,2476,15006.61,"SZY HOLDINGS, LLC",0.174,Surgical/medical instruments manufactured by device maker,Healthcare & Life Sciences,manufacture,medium,redundant,high
107,541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",AR45,"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (OPERATIONAL SYSTEMS DEVELOPMENT)",327010663.53,21,12000000.0,"ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY, INC.",1.0,Space operations tracking/data-acquisition systems development,Research & Development,RnD,medium,redundant,high
108,541512,Computer Systems Design Services,DD01,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",326078232.11,93,958461.54,ACCENTURE FEDERAL SERVICES LLC,0.065,IT service delivery support (ITSM/operations) labor,Information Technology & Software,services_labor,low,psc_carries,high
109,481211,Nonscheduled Chartered Passenger Air Transportation,V119,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,324900000.0,2,162450000.0,SALUS WORLDWIDE SOLUTIONS CORP.,1.0,Air cargo/charter transportation services,Transportation & Logistics,services_labor,high,naics_carries,medium
110,237110,Water and Sewer Line and Related Structures Construction,Y1ND,CONSTRUCTION OF SEWAGE AND WASTE FACILITIES,322464784.28,67,45000.0,CHRIS G HOWARD,0.134,Construction of sewage and waste facilities,Construction,construct,high,redundant,high
111,336414,Guided Missile and Space Vehicle Manufacturing,W018,LEASE OR RENTAL OF EQUIPMENT- SPACE VEHICLES,320288105.88,12,24922048.12,AXIOM SPACE INC,0.583,Lease/rental of space vehicles (commercial space station),Aerospace & Defense,services_labor,high,emergent,medium
112,334412,Bare Printed Circuit Board Manufacturing,1095,MISCELLANEOUS WEAPONS,314985601.76,17,3572545.41,DRS NETWORK & IMAGING SYSTEMS LLC,1.0,Miscellaneous weapons/imaging systems by defense electronics maker,Aerospace & Defense,manufacture,high,emergent,low
113,488190,Other Support Activities for Air Transportation,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,307999852.15,29,773067.7,NORTHROP GRUMMAN SYSTEMS CORPORATION,0.483,Aviation-support firm providing systems engineering support,Aerospace & Defense,services_labor,low,psc_carries,medium
114,541350,Building Inspection Services,H156,QUALITY CONTROL- CONSTRUCTION AND BUILDING MATERIALS,307946314.23,140,1080860.27,VANGUARD INSPECTION SERVICES,0.571,Construction materials inspection/quality-control testing,Engineering & Architecture,services_labor,low,redundant,high
115,541511,Custom Computer Programming Services,7F20,IT AND TELECOM - IT MANAGEMENT TOOLS/PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),306946055.61,13,954382.0,PALANTIR USG INC,0.692,IT management software/products (Palantir license) procurement,Information Technology & Software,distribute_resell,low,psc_carries,medium
116,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",1555,SPACE VEHICLES,305318997.0,6,39900000.0,LOCKHEED MARTIN CORP,0.5,Space vehicle development/build by aerospace prime,Aerospace & Defense,manufacture,high,emergent,high
117,336411,Aircraft Manufacturing,J015,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,301271370.39,27,2977392.88,THE BOEING COMPANY,0.333,Aircraft/airframe component MRO by airframe OEM,Aerospace & Defense,maintain_repair,medium,emergent,high
118,541512,Computer Systems Design Services,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,299411742.39,70,1056649.53,"LEIDOS, INC.",0.6,Other ADP/telecom services (data storage/processing),Information Technology & Software,services_labor,low,psc_carries,medium
119,237990,Other Heavy and Civil Engineering Construction,Z1KF,MAINTENANCE OF DREDGING FACILITIES,299013129.75,22,8553314.0,"GREAT LAKES DREDGE & DOCK CO, LLC",0.227,Maintenance/dredging of waterway facilities,Construction,maintain_repair,high,emergent,high
120,541714,Research and Development in Biotechnology (except Nanobiotechnology),AN13,HEALTH R&D SERVICES; HEALTH CARE SERVICES; EXPERIMENTAL DEVELOPMENT,293815571.15,27,2656345.0,BATTELLE MEMORIAL INSTITUTE,0.185,Biotech healthcare experimental development R&D,Research & Development,RnD,low,redundant,high
121,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AJ12,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,286327250.46,165,508225.05,"BLUEHALO, LLC",0.152,General science/technology applied research,Research & Development,RnD,low,redundant,high
122,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,283131623.25,1712,14984.0,MARTIN-BAKER AMERICA INC,0.074,Aircraft accessories/components manufactured by parts OEM,Aerospace & Defense,manufacture,medium,redundant,high
123,339113,Surgical Appliance and Supplies Manufacturing,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",282150019.87,3976,19954.77,PERMOBIL INC,0.063,Surgical appliances/supplies manufactured by device maker,Healthcare & Life Sciences,manufacture,medium,redundant,high
124,517310,TELECOMMUNICATIONS RESELLERS,DG11,IT and Telecom - Network: Satellite Communications and Telecom Access Services,278136218.93,7,15928514.2,HARRIS CORPORATION,1.0,Satellite/telecom access services resold by carrier,Telecommunications,services_labor,low,redundant,high
125,236220,Commercial and Institutional Building Construction,Y1AA,CONSTRUCTION OF OFFICE BUILDINGS,278014493.46,239,171659.0,"CADDELL CONSTRUCTION CO. (DE), LLC",0.046,New-build construction of office buildings,Construction,construct,high,psc_carries,high
126,541512,Computer Systems Design Services,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,276861948.89,113,819763.2,"MAXIMUS FEDERAL SERVICES, INC.",0.115,Business application SaaS via systems integrator,Information Technology & Software,services_labor,low,psc_carries,high
127,236220,Commercial and Institutional Building Construction,Y1DA,CONSTRUCTION OF HOSPITALS AND INFIRMARIES,275786265.52,286,76789.5,"WALSH CONSTRUCTION COMPANY II, LLC",0.136,New-build construction of hospitals and infirmaries,Construction,construct,high,psc_carries,high
128,336611,Ship Building and Repairing,J998,NON-NUCLEAR SHIP REPAIR (EAST),275053564.14,385,74891.72,SURFACE TECHNOLOGIES CORPORATION,0.057,Non-nuclear ship repair/overhaul (East coast),Aerospace & Defense,maintain_repair,high,emergent,high
129,331410,Nonferrous Metal (except Aluminum) Smelting and Refining,9660,PRECIOUS METALS PRIMARY FORMS,271670992.42,21,3897614.85,STONEX FINANCIAL LTD,0.952,Precious metals primary forms (bullion/ingot) supplied,Mining & Extraction,distribute_resell,low,redundant,medium
130,541330,Engineering Services,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,271122359.73,604,163360.51,JACOBS ENGINEERING GROUP INC.,0.028,General architect-engineering design services,Engineering & Architecture,services_labor,low,redundant,high
131,541330,Engineering Services,B540,SPECIAL STUDIES/ANALYSIS- BUILDING TECHNOLOGY,267427038.78,21,1721476.0,AMERESCO INC,0.286,Building technology studies/energy analysis,Engineering & Architecture,services_labor,low,emergent,high
132,541714,Research and Development in Biotechnology (except Nanobiotechnology),6505,DRUGS AND BIOLOGICALS,265530452.64,7,493470.0,"GLAXOSMITHKLINE, LLC",0.429,Biotech-developed drugs/biologicals supplied (GSK),Healthcare & Life Sciences,manufacture,low,emergent,medium
133,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,1560,AIRFRAME STRUCTURAL COMPONENTS,264158101.45,3167,9325.58,"KIT PACK CO., INC.",0.071,Airframe structural components manufactured by parts OEM,Aerospace & Defense,manufacture,medium,redundant,high
134,236220,Commercial and Institutional Building Construction,Z2FC,REPAIR OR ALTERATION OF TROOP HOUSING FACILITIES,262048811.05,35,388912.8,"HARPER CONSTRUCTION COMPANY, INC.",0.171,Repair/alteration of troop housing facilities,Construction,construct,high,psc_carries,high
135,541519,Other Computer Related Services,7E20,"IT and Telecom - End User: Help Desk;Tier 1-2,Workspace,Print,Output,Productivity Tools (HW/Perp SW)",260560433.58,1088,28709.81,"CSP ENTERPRISES, LLC",0.221,End-user/help-desk IT hardware and support,Information Technology & Software,services_labor,low,psc_carries,medium
136,513210,Software Publishers,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,259667814.96,321,42891.0,"THE MATHWORKS, INC.",0.078,Business application SaaS by software publisher (MathWorks),Information Technology & Software,distribute_resell,low,redundant,high
137,541512,Computer Systems Design Services,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,258400864.13,112,638461.01,ATAC,0.08,IT systems-design firms providing program management support,Information Technology & Software,services_labor,low,naics_carries,medium
138,333120,Construction Machinery Manufacturing,3805,EARTH MOVING AND EXCAVATING EQUIPMENT,256635694.93,441,167658.0,"AMERICAN MATERIAL HANDLING, INC.",0.252,Earth-moving/excavating construction machinery supplied,Industrial Manufacturing,distribute_resell,high,redundant,medium
139,541512,Computer Systems Design Services,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,255757007.92,107,599994.72,DELTA POINT LLC,0.103,IT systems-design firms providing engineering/technical support,Information Technology & Software,services_labor,low,naics_carries,medium
140,541990,"All Other Professional, Scientific, and Technical Services",R702,SUPPORT- MANAGEMENT: DATA COLLECTION,253662606.43,39,302314.0,"SIERRA NEVADA COMPANY, LLC",0.41,Data collection services,Professional & Management Services,services_labor,low,psc_carries,medium
141,562119,Other Waste Collection,S208,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,251829792.41,6,44378439.72,JBW GROUP LLC,0.5,Landscaping/groundskeeping services by waste contractor,"Facilities, Maintenance & Janitorial",services_labor,low,psc_carries,medium
142,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,1425,"GUIDED MISSILE SYSTEMS, COMPLETE",244874509.66,5,7166173.12,LOCKHEED MARTIN CORPORATION,0.6,Complete guided missile systems by aerospace prime,Aerospace & Defense,manufacture,high,emergent,high
143,336212,Truck Trailer Manufacturing,2355,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, WHEELED",242687295.07,7,2163706.89,OSHKOSH DEFENSE LLC,0.857,Wheeled combat/tactical vehicles by defense OEM,Aerospace & Defense,manufacture,high,emergent,high
144,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,240218829.26,20,2624570.0,TEXTRON AVIATION DEFENSE LLC,0.5,Aircraft-parts OEM providing engineering/technical support,Aerospace & Defense,services_labor,low,naics_carries,medium
145,424210,Drugs and Druggists' Sundries Merchant Wholesalers,6505,DRUGS AND BIOLOGICALS,233694236.89,34876,1138.34,AMERISOURCEBERGEN DRUG CORP,0.853,Pharmaceutical drugs wholesale at catalog volume,Wholesale & Supply,distribute_resell,low,redundant,high
146,524292,Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds,Q999,MEDICAL- OTHER,227074013.35,9,28077812.18,TRIWEST HEALTHCARE ALLIANCE CORP,0.889,Pharmacy benefit/third-party medical claims administration,Healthcare & Life Sciences,services_labor,low,naics_carries,high
147,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",AC13,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,225455604.03,65,1097937.0,"AMENTUM TECHNOLOGY, INC.",0.923,Defense experimental development R&D,Research & Development,RnD,low,redundant,high
148,541511,Custom Computer Programming Services,R499,SUPPORT- PROFESSIONAL: OTHER,225258345.58,272,300000.0,"CHIRALITY CAPITAL CONSULTING, LLC",0.081,Software firms supplying other professional services,Information Technology & Software,services_labor,low,naics_carries,medium
149,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AN12,HEALTH R&D SERVICES; HEALTH CARE SERVICES; APPLIED RESEARCH,224634883.81,127,806112.0,LEIDOS BIOMEDICAL RESEARCH INC,0.079,Health/biomedical applied research,Research & Development,RnD,low,redundant,high
150,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",Y1BG,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,222730915.64,12,150000.0,GENERAL DYNAMICS ONE SOURCE LLC,0.583,Construction of electronic/communications facilities,Construction,construct,high,psc_carries,medium
151,311421,Fruit and Vegetable Canning,8915,FRUITS AND VEGETABLES,221837931.21,180,208396.89,LAKESIDE FOODS INC,0.15,Canned fruits/vegetables manufactured for food supply,"Food, Agriculture & Beverage",manufacture,medium,redundant,high
152,541519,Other Computer Related Services,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,220659946.37,221,160669.23,TMC TECHNOLOGIES OF WEST VIRGINIA CORP,0.262,IT services firms providing engineering/technical support,Information Technology & Software,services_labor,low,naics_carries,medium
153,811210,Electronic and Precision Equipment Repair and Maintenance,J063,"MAINT/REPAIR/REBUILD OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",220214389.04,15,109118.4,"TECHFLOW, INC.",0.2,Alarm/security detection systems maintenance and repair,Electronics & Instruments,maintain_repair,medium,redundant,high
154,541519,Other Computer Related Services,DK10,IT AND TELECOM - STORAGE AS A SERVICE,220016382.17,34,467946.76,"FOUR POINTS TECHNOLOGY, L.L.C.",0.471,Cloud storage delivered as a service via reseller,Information Technology & Software,services_labor,low,psc_carries,medium
155,561210,Facilities Support Services,R499,SUPPORT- PROFESSIONAL: OTHER,216698799.83,82,202125.15,"HANFORD MISSION INTEGRATION SOLUTIONS, LLC",0.085,Facilities support firms supplying other professional services,"Facilities, Maintenance & Janitorial",services_labor,low,naics_carries,medium
156,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AR13,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; EXPERIMENTAL DEVELOPMENT",215105460.1,21,4350000.0,"AMENTUM TECHNOLOGY, INC.",0.286,Space flight experimental development R&D,Research & Development,RnD,low,redundant,high
157,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),213878128.96,80,420667.33,PERATON TECHNOLOGY SERVICES INC.,0.175,Cloud/hosting firms providing app-development support labor,Information Technology & Software,services_labor,low,psc_carries,medium
158,541512,Computer Systems Design Services,R699,SUPPORT- ADMINISTRATIVE: OTHER,211357576.41,44,1323518.46,PERATON ENTERPRISE SOLUTIONS LLC,0.614,IT systems-design firms providing administrative support,Information Technology & Software,services_labor,low,naics_carries,medium
159,562910,Remediation Services,Z1PD,MAINTENANCE OF WASTE TREATMENT AND STORAGE FACILITIES,210571092.16,9,779598.0,"CENTRAL PLATEAU CLEANUP COMPANY, LLC",1.0,Maintenance of waste treatment/storage facilities (cleanup site),Environmental & Remediation,maintain_repair,medium,emergent,high
160,562211,Hazardous Waste Treatment and Disposal,F999,OTHER ENVIRONMENTAL SERVICES,210042282.62,14,175983.24,"SALADO ISOLATION MINING CONTRACTORS, LLC",0.357,Hazardous waste environmental services/cleanup,Environmental & Remediation,services_labor,medium,redundant,high
161,237130,Power and Communication Line and Related Structures Construction,Y1NZ,CONSTRUCTION OF OTHER UTILITIES,209790227.12,17,202277.4,TDX POWER SERVICES LLC,0.176,Construction of power/utility transmission infrastructure,Construction,construct,high,redundant,high
162,336414,Guided Missile and Space Vehicle Manufacturing,1337,"GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",207182762.9,32,2123547.5,AEROJET ROCKETDYNE COLEMAN AEROSPACE INC,0.875,Solid-fuel missile/rocket propulsion units manufactured,Aerospace & Defense,manufacture,high,redundant,high
163,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",5865,"ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT",205603466.49,48,50470.44,NORTHROP GRUMMAN SYSTEMS CORPORATION,0.375,Electronic countermeasures equipment manufactured by defense OEM,Aerospace & Defense,manufacture,high,redundant,high
164,339999,All Other Miscellaneous Manufacturing,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,204120832.26,28,2291368.55,ALUTIIQ ESSENTIAL SERVICES LLC,0.893,Manufacturer providing program management support services,Professional & Management Services,services_labor,low,psc_carries,medium
165,541519,Other Computer Related Services,DG01,IT AND TELECOM - NETWORK SUPPORT SERVICES (LABOR),201847678.46,253,90831.3,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",0.727,IT network support engineering labor,Information Technology & Software,services_labor,low,psc_carries,high
166,541690,Other Scientific and Technical Consulting Services,R499,SUPPORT- PROFESSIONAL: OTHER,201083412.12,838,87856.24,"AXLE INFORMATICS, LLC",0.401,Scientific/technical consulting other professional services,Professional & Management Services,services_labor,low,naics_carries,medium
167,236220,Commercial and Institutional Building Construction,Z1DA,MAINTENANCE OF HOSPITALS AND INFIRMARIES,200876799.68,224,139035.22,SERVIAM CONSTRUCTION LLC,0.049,Maintenance of hospitals and infirmaries,"Facilities, Maintenance & Janitorial",maintain_repair,medium,psc_carries,high
168,541711,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,M181,OPER OF GOVT R&D GOCO FACILITIES,198642260.04,7,9341305.81,"ALLIANCE FOR ENERGY INNOVATION, LLC",1.0,Contractor operation of government biotech R&D facility (NREL),Research & Development,services_labor,medium,redundant,high
169,541512,Computer Systems Design Services,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),196191006.95,114,98657.89,CDW GOVERNMENT LLC,0.254,Perpetual-license business application software resold,Information Technology & Software,distribute_resell,low,psc_carries,high
170,541330,Engineering Services,K017,"MODIFICATION OF EQUIPMENT- AIRCRAFT LAUNCHING, LANDING, AND GROUND HANDLING EQUIPMENT",193002980.78,51,255000.0,"ADVANCED MANAGEMENT TECHNOLOGY, INC.",0.51,Modification of aircraft ground-support equipment,Aerospace & Defense,maintain_repair,medium,emergent,medium
171,541519,Other Computer Related Services,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,192293003.45,158,453452.99,"REI SYSTEMS, INC.",0.234,IT management delivered as a service (subscription),Information Technology & Software,services_labor,low,psc_carries,high
172,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,5865,"ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT",191455092.72,11,18399911.0,L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,0.727,Electronic countermeasures equipment by aircraft-parts OEM,Aerospace & Defense,manufacture,high,emergent,high
173,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",R499,SUPPORT- PROFESSIONAL: OTHER,190724821.73,34,661205.5,"EAGLE HARBOR, LLC",0.118,Cloud/hosting firms supplying other professional services,Information Technology & Software,services_labor,low,naics_carries,medium
174,237110,Water and Sewer Line and Related Structures Construction,Y1NE,CONSTRUCTION OF WATER SUPPLY FACILITIES,190397370.55,59,34927.07,CDM CONSTRUCTORS INC,0.119,Construction of water supply facilities,Construction,construct,high,redundant,high
175,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",5840,"RADAR EQUIPMENT, EXCEPT AIRBORNE",189291677.56,57,339048.0,RAYTHEON COMPANY,0.263,Ground-based radar equipment manufactured by defense OEM,Aerospace & Defense,manufacture,high,redundant,high
176,531311,Residential Property Managers,Z1FZ,MAINTENANCE OF OTHER RESIDENTIAL BUILDINGS,188954798.52,19,10124600.0,24 ASSET MANAGEMENT CORP,0.526,Property managers maintaining residential buildings,Real Estate,maintain_repair,medium,emergent,medium
177,334516,Analytical Laboratory Instrument Manufacturing,6640,LABORATORY EQUIPMENT AND SUPPLIES,186309491.77,1161,55530.77,GOVERNMENT SCIENTIFIC SOURCE INC,0.062,Laboratory equipment/supplies supplied via distributor,Electronics & Instruments,distribute_resell,medium,naics_carries,medium
178,524114,Direct Health and Medical Insurance Carriers,Q999,MEDICAL- OTHER,186218564.9,58,3200.02,NAPHCARE LLC,0.879,Health insurer providing other medical services,Healthcare & Life Sciences,services_labor,low,naics_carries,medium
179,311991,Perishable Prepared Food Manufacturing,8915,FRUITS AND VEGETABLES,186194388.11,100406,431.28,"FORESTWOOD FARM, INC.",0.214,Fresh-cut produce supplied at very high transaction volume,"Food, Agriculture & Beverage",distribute_resell,low,naics_carries,medium
180,541990,"All Other Professional, Scientific, and Technical Services",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,185579276.01,144,252271.03,CHEROKEE NATION SYSTEM SOLUTIONS LLC,0.222,Technical-services firms providing program management support,Professional & Management Services,services_labor,low,psc_carries,medium
181,541611,Administrative Management and General Management Consulting Services,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,185222448.48,137,442501.43,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,0.234,Management consulting providing engineering/technical support,Professional & Management Services,services_labor,low,naics_carries,medium
182,541519,Other Computer Related Services,7G21,IT AND TELECOM - NETWORK: DIGITAL NETWORK PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),184674507.57,263,111492.2,"FCN, INC.",0.228,Digital network products (hardware/software) resold,Information Technology & Software,distribute_resell,low,psc_carries,high
183,541511,Custom Computer Programming Services,R799,SUPPORT- MANAGEMENT: OTHER,180913047.88,103,691911.16,IGNITEACTION LLC,0.34,Software firms providing other management support services,Information Technology & Software,services_labor,low,naics_carries,medium
184,541930,Translation and Interpretation Services,R608,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTERPRETING,179984663.6,1586,14832.0,METLANG LLC,0.289,Translation and interpretation services,Professional & Management Services,services_labor,low,redundant,high
185,334517,Irradiation Apparatus Manufacturing,6525,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",179499392.62,283,305336.13,GE PRECISION HEALTHCARE LLC,0.29,Medical X-ray/imaging equipment manufactured (GE),Healthcare & Life Sciences,manufacture,high,redundant,high
186,115310,Support Activities for Forestry,F003,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,178363336.22,1591,41999.93,GPC CONSOLIDATED REPORTING,0.04,Wildfire suppression support for forestry,Environmental & Remediation,services_labor,medium,redundant,high
187,561210,Facilities Support Services,R799,SUPPORT- MANAGEMENT: OTHER,177816300.23,73,15021.5,DAE SUNG LLC,0.493,Facilities support firms providing other management support,"Facilities, Maintenance & Janitorial",services_labor,low,naics_carries,medium
188,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AC12,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH,176872735.21,261,249965.65,"BLUEHALO, LLC",0.077,Defense applied research,Research & Development,RnD,low,redundant,high
189,337214,Office Furniture (except Wood) Manufacturing,7110,OFFICE FURNITURE,176684798.41,9682,780.72,METRO OFFICE SOLUTIONS INC,0.399,Office furniture manufactured/supplied at catalog volume,Industrial Manufacturing,distribute_resell,low,redundant,high
190,561210,Facilities Support Services,R699,SUPPORT- ADMINISTRATIVE: OTHER,175907359.5,80,240427.2,CGI FEDERAL INC.,0.312,Facilities support firms providing administrative support,"Facilities, Maintenance & Janitorial",services_labor,low,naics_carries,medium
191,336110,Automobile and Light Duty Motor Vehicle Manufacturing,2310,PASSENGER MOTOR VEHICLES,175289726.3,2641,42667.0,LMK INNOVATIVE VEHICLE SOLUTIONS EUROPE GMBH,0.339,Passenger/light-duty motor vehicles manufactured/supplied,Transportation & Logistics,manufacture,medium,redundant,high
192,561210,Facilities Support Services,R706,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,174630243.55,48,711981.43,TRAX INTERNATIONAL CORPORATION,0.146,Facilities support firms providing logistics support,"Facilities, Maintenance & Janitorial",services_labor,low,psc_carries,medium
193,541519,Other Computer Related Services,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),174259131.5,456,78652.45,CGI FEDERAL INC.,0.127,Application development software (perpetual license) resold,Information Technology & Software,distribute_resell,low,psc_carries,high
194,541611,Administrative Management and General Management Consulting Services,R699,SUPPORT- ADMINISTRATIVE: OTHER,173979526.85,459,111658.56,"SEVENTH SENSE, LLC",0.275,Management consulting providing administrative support,Professional & Management Services,services_labor,low,naics_carries,medium
195,541614,"Process, Physical Distribution, and Logistics Consulting Services",R706,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,173630381.1,174,40620.12,"METRICA, INC.",0.172,Logistics consulting providing logistics support services,Professional & Management Services,services_labor,low,redundant,high
196,336412,Aircraft Engine and Engine Parts Manufacturing,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,173130739.7,101,3873.68,SIKORSKY AIRCRAFT CORPORATION,0.653,Aircraft engine accessories/components manufactured by OEM,Aerospace & Defense,manufacture,medium,emergent,high
